category,product_name,vendor_name,product_capterra_url,url,rating,total_reviews,description,image,_source
Church Management,Courtyard,Sheltered Apps,https://www.capterra.com/p/101090/Courtyard/,https://www.capterra.com/p/101090/Courtyard/,4,1,"Online church directory solution that allows churches and schools to organize and manage family-oriented, interactive directory.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/90289055-b9ea-4b34-88e5-10ca6bdcbed0.png,https://www.capterra.com/church-management-software
Integration,Transaction Pro,Transaction Pro,https://www.capterra.com/p/184820/Transaction-Pro-Importer-Exporter/,https://www.capterra.com/p/184820/Transaction-Pro-Importer-Exporter/,4.4,97,Easily move data into or out of QuickBooks Online (QBO) with Transaction Pro. ,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/99de8cb3-f7f7-4473-8d8b-a32b2bbdfe74.png,https://www.capterra.com/integration-software
Church Management,lambs list,Microframe,https://www.capterra.com/p/121809/lambs-list/,https://www.capterra.com/p/121809/lambs-list/,4,1,"Church management tool that helps users with child check-in, volunteer management, attendance tracking, membership management, and more",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/48a65e37-220b-4a9e-b1b8-f73ca8480ac5.png,https://www.capterra.com/church-management-software
Church Management,Noahworks,descript,https://www.capterra.com/p/276652/Noahworks/,https://www.capterra.com/p/276652/Noahworks/,4,1,"Noahworks is a church management solution offering features such as event management, calendar, scheduling and more.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/262eb5c6-dfa6-4c76-aae2-15217cddbe84.png,https://www.capterra.com/church-management-software
Church Management,Shluchim Synagogue Management ,Nuverb Systems,https://www.capterra.com/p/212368/Shluchim-Synagogue-Management/,https://www.capterra.com/p/212368/Shluchim-Synagogue-Management/,3,1,"Shluchim makes it easy to keep track of your members, their offerings and their pledges.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/f1c7a90e-0d3a-4c59-bab0-114a1f99b128.png,https://www.capterra.com/church-management-software
Accounts Receivable,PorCobrar,Yaydoo,https://www.capterra.com/p/236078/PorCobrar/,https://www.capterra.com/p/236078/PorCobrar/,5,1,"????Automate your collection process, with automatic reminders, multiple means of payment with billing and automatic reconciliation.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/7dc002fe-85c2-441a-8f0c-5bf8ec37d8f0.png,https://www.capterra.com/accounts-receivable-software
360 Degree Feedback,ETS 360 Degree Feedback,ETS,https://www.capterra.com/p/92092/Performance-Management/,https://www.capterra.com/p/92092/Performance-Management/,4.7,3,"Powerful and intuitive 360 feedback platforms with extensive configurable features and full customisation, and participant support.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/2421b6d0-4c88-4fdd-a13a-3b4f6de9ccc7.png,https://www.capterra.com/360-degree-feedback-software
Integration,Commercient SYNC,Commercient,https://www.capterra.com/p/151318/Commercient-SYNC/,https://www.capterra.com/p/151318/Commercient-SYNC/,4.9,79,"Commercient SYNC integrates over 110 ERPs with your CRM by making use of a pre-built solution, ensuring a seamless integration.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/5c99b017-9040-444c-8d17-a8fbd628871c.png,https://www.capterra.com/integration-software
Accounts Payable,Account Payables,ShreeMon,https://www.capterra.com/p/152883/Account-Payables/,https://www.capterra.com/p/152883/Account-Payables/,4.3,3,Centralizes all transactional documents in one location on a web server so they can be easily found and processed. ,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/0aa6a609-f08d-42e5-b738-a6b2ba8b8731.png,https://www.capterra.com/accounts-payable-software
Church Management,Churchhand,Nine Oaks Technology,https://www.capterra.com/p/15725/Churchhand/,https://www.capterra.com/p/15725/Churchhand/,1,1,Online church management software that helps shift your focus from the duties of membership to the dynamics of ministry.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/4eea9bbc-b879-45c9-ae83-e0a51401e613.png,https://www.capterra.com/church-management-software
Integration,SSIS PowerPack,ZappySys,https://www.capterra.com/p/170286/SSIS-PowerPack/,https://www.capterra.com/p/170286/SSIS-PowerPack/,4.8,82,"A robust assortment of 70+ tasks and components, designed to streamline the integration process in most common formats.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/c37bf740-edd2-4423-ba39-bd9f994df306.png,https://www.capterra.com/integration-software
Accounts Payable,Aavenir Invoiceflow,Aavenir,https://www.capterra.com/p/231193/Aavenir-Invoiceflow/,https://www.capterra.com/p/231193/Aavenir-Invoiceflow/,5,2,Accounts payable solution that streamlines invoice approval workflow with automatic invoice data extraction & verification processes.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/a3bb2905-0501-4f4e-8b22-64ce9d18b119.png,https://www.capterra.com/accounts-payable-software
360 Degree Feedback,Reaction.Link,Reactionlink SE Technologies,https://www.capterra.com/p/233426/ReactionLink/,https://www.capterra.com/p/233426/ReactionLink/,5,2,Cloud-based solution that enables businesses and TV productions to gather user feedback via QR codes and track responses in real-time. ,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/48d7eaef-c3ee-4c67-9c79-93c3bc1fd902.jpeg,https://www.capterra.com/360-degree-feedback-software
Accounting,myBooks,ZETRAN,https://www.capterra.com/p/175345/myBooks/,https://www.capterra.com/p/175345/myBooks/,4.3,14,"Small Business Accounting solution that helps businesses manage payments, bills, invoices and more to reduce costs.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/72b0f5f5-fe4f-458b-92f9-fcb6d03907e1.png,https://www.capterra.com/accounting-software
Advertising Agency,Spongecell,FlashTalking,https://www.capterra.com/p/80228/Spongecell/,https://www.capterra.com/p/80228/Spongecell/,5,1,"Digital advertising tool that allows brands to create and optimize creative experiences via integration, machine learning & automation.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/a8b5f3c8-eefc-4a64-96bd-5ce645db11f3.png,https://www.capterra.com/advertising-agency-software
Accounting,iplicit,iplicit,https://www.capterra.com/p/233828/iplicit/,https://www.capterra.com/p/233828/iplicit/,4.8,13,Cloud accounting software that is ideal for the frustrated on-premise software user and users outgrowing entry-level cloud solutions.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/9ca8e4dd-1a5d-4c16-a2c9-c37c1cad7e4d.png,https://www.capterra.com/accounting-software
360 Degree Feedback,eValuate,AllofE Solutions,https://www.capterra.com/p/185263/eValuate/,https://www.capterra.com/p/185263/eValuate/,4.5,2,360-degree feedback solution that enables schools to assess students' performances and monitor their growth through evaluation forms.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/4e12e1b4-6303-46a6-bef4-c9282d915baa.png,https://www.capterra.com/360-degree-feedback-software
Elearning Authoring Tools,H5P,H5P,https://www.capterra.com/p/235235/H5P/,https://www.capterra.com/p/235235/H5P/,4.9,8,Content creation tool that helps businesses create interactive presentations or videos to streamline learning management processes.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/801afdea-1d87-40aa-8814-cc59c43c3374.png,https://www.capterra.com/elearning-authoring-tools-software
Integration,IntegrateCloud,IntegrateCloud,https://www.capterra.com/p/240440/IntegrateCloud/,https://www.capterra.com/p/240440/IntegrateCloud/,4.7,35,IntegrateCloud Integration platform that helps businesses connect and transfer data between various applications,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/61ae3d2a-646c-4f2a-8c59-9d64160f6616.png,https://www.capterra.com/integration-software
360 Degree Feedback,TruQu,TruQu,https://www.capterra.com/p/152329/TruQu/,https://www.capterra.com/p/152329/TruQu/,4,2,Employee feedback software to give employees control of their own development using continuous and real-time 360 feedback.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/4ce13661-fe18-408f-88b8-5c51cdd2be16.png,https://www.capterra.com/360-degree-feedback-software
360 Degree Feedback,Upinion,Upinion,https://www.capterra.com/p/158125/Upinion/,https://www.capterra.com/p/158125/Upinion/,4,2,Upinion allows both customers and employees to provide immediate answers and feedback to inquiries,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/cc9c5cd2-d3aa-4eb9-a730-1c05bf63701f.png,https://www.capterra.com/360-degree-feedback-software
Advertising Agency,iWorkSync AD,iAntz IT Solutions,https://www.capterra.com/p/159786/iWorkSync-Ad/,https://www.capterra.com/p/159786/iWorkSync-Ad/,4,1," iWorkSync-AD,a fully integrated business management solution designed specifically for Media companies businesses 2 boost productivity",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/6d580f83-e0f5-44c9-a8cd-8abe1dbf3cd0.png,https://www.capterra.com/advertising-agency-software
Advertising Agency,MarketerMagic,Digital Ninjaz,https://www.capterra.com/p/195168/MarketerMagic/,https://www.capterra.com/p/195168/MarketerMagic/,4,1,Modular solution designed for marketers.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/60b77d91-a711-41ee-95ef-6a0621ef95fa.png,https://www.capterra.com/advertising-agency-software
Accounts Payable,A/P Advantage,PNC,https://www.capterra.com/p/199482/A-P-Advantage/,https://www.capterra.com/p/199482/A-P-Advantage/,4,1,"Reduce manual tasks, cut errors, improve control, increase the satisfaction of accounts payable staff and improve relationships.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/b1d0677f-b33a-4f5e-9a29-ee2e309e3a3b.png,https://www.capterra.com/accounts-payable-software
360 Degree Feedback,Leadership Navigator,3D Group,https://www.capterra.com/p/151487/Leadership-Navigator/,https://www.capterra.com/p/151487/Leadership-Navigator/,5,1,Suite of 360 degree leadership feedback tools that provides comprehensive surveys for a wide range of leaders. ,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/8a920833-e9e0-4e58-8c8b-954abe3b8fd5.png,https://www.capterra.com/360-degree-feedback-software
Accounting,Finexio,Finexio,https://www.capterra.com/p/198227/Finexio/,https://www.capterra.com/p/198227/Finexio/,4.7,10,An accounts payable (AP) Payments as a Service solution eliminating manual processes so companies can easily adopt electronic payments.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/81130902-1e49-40db-ad3a-9aa203269703.png,https://www.capterra.com/accounting-software
Accounting,CA Office Automation,CA OFFICE AUTOMATION,https://www.capterra.com/p/228177/CA-OFFICE-AUTOMATION/,https://www.capterra.com/p/228177/CA-OFFICE-AUTOMATION/,3.7,10,Smart ERP Software solution For CPA & Accounting Firms. Lots of smart features cover all software-related requirements of CPA Firm. ,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/a31d0cdf-8069-4fe5-a52f-3981b04d06e4.jpeg,https://www.capterra.com/accounting-software
360 Degree Feedback,360 Feedback Manager,360 Feedback Manager,https://www.capterra.com/p/150762/360-Feedback-Manager/,https://www.capterra.com/p/150762/360-Feedback-Manager/,4,1,"Scalable, GDPR-compliant system that can incorporate your own algorithms, reports and emails. Also available as a service.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/4fc20b0a-9308-45f6-ad9c-de881d761395.png,https://www.capterra.com/360-degree-feedback-software
Elearning Authoring Tools,Near-Life CREATOR,Near-Life,https://www.capterra.com/p/207883/Near-Life-CREATOR/,https://www.capterra.com/p/207883/Near-Life-CREATOR/,5,3,"Near-Life CREATOR - an interactive video authoring tool. Design, publish and share cutting-edge, immersive learning scenarios.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/3c6a372a-6f5f-4f35-b1df-6d7a827e0902.png,https://www.capterra.com/elearning-authoring-tools-software
360 Degree Feedback,Karma Notes,Salto Dee Fe,https://www.capterra.com/p/153463/Karma-Notes/,https://www.capterra.com/p/153463/Karma-Notes/,4,1,Performance enhancement tool that makes it easier to give and receive feedback and development inputs for employees.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/c429220b-670a-4974-9dda-d99447861e4c.png,https://www.capterra.com/360-degree-feedback-software
Integration,Devart ODBC Drivers,Devart,https://www.capterra.com/p/197283/Devart-ODBC-Drivers/,https://www.capterra.com/p/197283/Devart-ODBC-Drivers/,4.8,21,Universal technology to retrieve data from heterogeneous data sources ,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/092378fa-8cfa-4773-90ee-269eedbe3ea1.png,https://www.capterra.com/integration-software
Accounting,ClearTax,Defmacro Software,https://www.capterra.com/p/176636/ClearTax/,https://www.capterra.com/p/176636/ClearTax/,4.3,7,File all returns for all your clients/GSTINs at one place. Identify errors automatically before uploading to GSTN. ,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/6377d3d4-0f54-4e29-828e-f220ee5f3ae9.png,https://www.capterra.com/accounting-software
Integration,Oracle Data Integrator,Oracle,https://www.capterra.com/p/72010/Oracle-Data-Integrator/,https://www.capterra.com/p/72010/Oracle-Data-Integrator/,4.4,19,Extract Load and Transform technology that improves performance and reduces data integration costs across heterogeneous systems.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/7256731b-db44-4dad-8b13-7962e2fd3442.png,https://www.capterra.com/integration-software
Accounting,EasyBooks,Geode Software,https://www.capterra.com/p/161457/Easy-Books/,https://www.capterra.com/p/161457/Easy-Books/,4,7,"A double-entry, multi-currency accounts package to manage expenses, invoice customers & keep track of how well your business is doing.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/e2003f42-fecb-4bdb-ae46-96d76ae1bcdb.png,https://www.capterra.com/accounting-software
Integration,Octopods,Octopods Software Systems,https://www.capterra.com/p/197577/Octopods-Omnichannel/,https://www.capterra.com/p/197577/Octopods-Omnichannel/,4.8,17,"A simple, reliable way to connect Intercom to all messaging channels your customers are using.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/f3f941ff-c3cb-4c63-b160-2e00d89ae7c4.png,https://www.capterra.com/integration-software
Accounting,AccountNet,Mesh99,https://www.capterra.com/p/236645/Accountnet/,https://www.capterra.com/p/236645/Accountnet/,4.7,6,"Accountnet | Accounting software provide you the functionality to manage invoices, estimates, expenses, bills, reports and companies.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/f192e775-4d34-4853-b746-78acedd9546a.png,https://www.capterra.com/accounting-software
Elearning Authoring Tools,Amanote Distance Learning,Amaplex Software,https://www.capterra.com/p/204503/Amanote-Course-Creator/,https://www.capterra.com/p/204503/Amanote-Course-Creator/,5,1,"An easy-to-use solution to create online courses based on materials (slides, syllabus, article, etc.). ",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/4c3151eb-f7a0-436a-9078-537a6cee4c10.png,https://www.capterra.com/elearning-authoring-tools-software
Elearning Authoring Tools,Magoosh,Magoosh,https://www.capterra.com/p/229391/Magoosh/,https://www.capterra.com/p/229391/Magoosh/,5,1,"Test prep tool that offers students with study schedules, resources, practice test questions, video lessons, and more. ",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/2fbb38f4-8ac3-479b-aae5-0180f9f40850.jpeg,https://www.capterra.com/elearning-authoring-tools-software
Radiology,RISynergy,Swearingen,https://www.capterra.com/p/80548/RISynergy/,https://www.capterra.com/p/80548/RISynergy/,4.9,4,"RIS for more efficient and productive work flow, greater staff utilization, and greater referring physician satisfaction.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/64753422-1b99-4703-b2fc-4545704bd1db.png,https://www.capterra.com/radiology-software
Elearning Authoring Tools,Schoola,Schoola,https://www.capterra.com/p/204511/Schoola/,https://www.capterra.com/p/204511/Schoola/,5,1,EdTECH platform aimed at providing the simplest form of automation to schools.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/aa75b708-e359-4c7d-895e-648be7990efc.png,https://www.capterra.com/elearning-authoring-tools-software
Radiology,RIS PACS,MedWeb,https://www.capterra.com/p/79111/RIS-PACS/,https://www.capterra.com/p/79111/RIS-PACS/,4.3,3,"Web-based radiology solution that helps business with patient registration, insurance verification, billing, and more.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/7b4ef03d-b849-47f6-82c0-8e5fb240f21b.png,https://www.capterra.com/radiology-software
Radiology,Radiology Information System,USARAD.com,https://www.capterra.com/p/121624/Radiology-Information-System/,https://www.capterra.com/p/121624/Radiology-Information-System/,5,1,100% web-based system with automatic invoice generation functionality. ,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/43d36707-d746-441b-8cda-257c2c796867.png,https://www.capterra.com/radiology-software
Accounting,Big Red Cloud,Big Red Book,https://www.capterra.com/p/128928/Big-Red-Cloud/,https://www.capterra.com/p/128928/Big-Red-Cloud/,4.8,4,"Online accounting software for managing invoicing, purchases, and VAT for small to medium business owners/managers",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/922250c9-f452-4681-b65e-198e234e5144.png,https://www.capterra.com/accounting-software
Radiology,OmniRad,Insight Management Systems,https://www.capterra.com/p/121625/OmniRad/,https://www.capterra.com/p/121625/OmniRad/,2,1,"A powerful, versatile software system that is customized to integrate seamlessly into your work environment. ",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/a8a3aa90-09df-4488-a95b-76a49a00ba0f.png,https://www.capterra.com/radiology-software
Integration,ConnectIt,Hilltops IT,https://www.capterra.com/p/135222/ConnectIt/,https://www.capterra.com/p/135222/ConnectIt/,4.6,10,"A suite of applications providing integration for QuoteWerks, Sage 50, Sage 200, Swiftpage ACT!, Outlook, Opera, and ecommerce sites.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/b5c14f33-d04e-4187-92f9-2b90a2911f35.png,https://www.capterra.com/integration-software
Accounting,Siigo,Siigo,https://www.capterra.com/p/209269/Siigo/,https://www.capterra.com/p/209269/Siigo/,4.5,4,Accounting and Administrative Software for small and medium-sized companies in Colombia.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/900b66f0-bc4a-489d-95f6-9c3b005ce0d0.png,https://www.capterra.com/accounting-software
Integration,Freshservice + Trello integration,SoftwareDevTools,https://www.capterra.com/p/178983/Freshservice-Trello-Integration/,https://www.capterra.com/p/178983/Freshservice-Trello-Integration/,4.8,9,Ticket management system for ITSM professionals that helps sync and link service desk tickets inside Trello cards. ,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/9e6a104a-5d12-4b80-9ec5-37d7ea448f61.png,https://www.capterra.com/integration-software
Integration,SonarQube Connector for Bitbucket,excentia,https://www.capterra.com/p/238858/SonarQube-Connector-for-Bitbucket/,https://www.capterra.com/p/238858/SonarQube-Connector-for-Bitbucket/,4.8,9,Integrates SonarQube / SonarCloud measures in your Bitbucket instance. Your source code quality at a glance.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/e28104d7-2903-4983-b5cc-668406b0bf30.jpeg,https://www.capterra.com/integration-software
Text To Speech,HumanTalk,HumanPal,https://www.capterra.com/p/10005351/HumanTalk/,https://www.capterra.com/p/10005351/HumanTalk/,4.8,654,"#1 Multilingual AI Content Creation Platform that includes an AI content writer, emotional text to voice maker, prompt creator & more! ",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/5f5a4023-4087-4ead-a7de-469a50ddac7d.png,https://www.capterra.com/text-to-speech-software
Text Mining,DiscoverText,Texifter,https://www.capterra.com/p/151927/DiscoverText/,https://www.capterra.com/p/151927/DiscoverText/,4.6,116,"Web-based collaborative text analytics for academics, companies, and governments to search, filter, cluster, code and classify text.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/d4787653-65a3-40c5-ae2a-49384f7d8139.png,https://www.capterra.com/text-mining-software
Accounting,NetLoan,Netgain Solutions,https://www.capterra.com/p/240600/NetLoan/,https://www.capterra.com/p/240600/NetLoan/,5,3,"NetLoan is a loan management app that's embedded within the NetSuite Solution, automating loan principal and interest accounting.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/a1e9fd28-cc6c-4cfc-bf75-ce8a6cf00f85.jpeg,https://www.capterra.com/accounting-software
Integration,OnePlaceMail ,OnePlace Solutions,https://www.capterra.com/p/168037/OnePlace-Mail/,https://www.capterra.com/p/168037/OnePlace-Mail/,4.3,7,OnePlaceMail seamlessly connects Microsoft Outlook to SharePoint and Office 365 to improve collaboration and business productivity.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/de165a70-79a3-4518-8a8c-a0210402bb4c.png,https://www.capterra.com/integration-software
Accounting,WIP Accounting,WIP Software,https://www.capterra.com/p/130160/WIP-Accounting/,https://www.capterra.com/p/130160/WIP-Accounting/,4.7,3,Combines accounting with custom workflow solutions for small businesses so they can reduce costs and improve productivity.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/53cd8242-6c05-4d39-a17b-639ca03c4d40.png,https://www.capterra.com/accounting-software
Text To Speech,Kukarella,Kukarella,https://www.capterra.com/p/10002614/Kukarella/,https://www.capterra.com/p/10002614/Kukarella/,4.9,13,Kukarella is a text to speech converter that gives users an easy access to 750+ AI voices across 130 languages.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/2eae3215-691c-44d3-a95f-cb722e5d5ce1.jpeg,https://www.capterra.com/text-to-speech-software
Text To Speech,Voicely,Atlas Web Solutions,https://www.capterra.com/p/213764/Voicely/,https://www.capterra.com/p/213764/Voicely/,4.6,13,Instantly Transform Any Text Into a 100% Human Sounding VoiceOver With Only 3 Clicks!,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/8e8937fa-2587-4d91-8915-207c462d068f.png,https://www.capterra.com/text-to-speech-software
Text To Speech,Synthesys Studio,Synthesys,https://www.capterra.com/p/242212/Synthesys-Studio/,https://www.capterra.com/p/242212/Synthesys-Studio/,4.6,11,Synthesys is on the leading edge of developing algorithms for text to voice and videos for commercial use.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/72e06e09-fba4-4a6f-8789-8e7a6c665bd2.jpeg,https://www.capterra.com/text-to-speech-software
Integration,G-Accon,G-Accon,https://www.capterra.com/p/10006671/G-Accon/,https://www.capterra.com/p/10006671/G-Accon/,4.8,6,"Cloud-based integration platform that helps users connect Google Sheets to Xero, QuickBooks Online, FreshBooks, and Sage Accounting. ",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/7e751e6a-0520-478c-807a-cd3f290540d9.jpeg,https://www.capterra.com/integration-software
Integration,DSYNC,DSYNC,https://www.capterra.com/p/156976/DSYNC/,https://www.capterra.com/p/156976/DSYNC/,4.7,6,"Connect ANY available rest API on the cloud NO coding platform. Great for beginner devs or advanced. Connect APIs JSON, XML Rest",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/6eeec675-3c8d-4125-922c-eee2b86b48c0.png,https://www.capterra.com/integration-software
Text To Speech,VERBATIK,VERBATIK TECHNOLOGIES,https://www.capterra.com/p/10005678/VERBATIK/,https://www.capterra.com/p/10005678/VERBATIK/,4.7,6,Text-to-speech solution that allows users to generate realistic audio from text using AI-based voice generator.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/c388ffda-9d2c-4a5c-a86f-91306c00ed99.jpeg,https://www.capterra.com/text-to-speech-software
Text Mining,Caplena,Caplena,https://www.capterra.com/p/231130/Caplena/,https://www.capterra.com/p/231130/Caplena/,5,7,"Caplena is an AI-based text analysis solution for market research to capture insights from survey, reviews, and more in many languages.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/84329517-cd68-4f31-8dd4-3257c1bf075a.png,https://www.capterra.com/text-mining-software
Text To Speech,Trinity Audio,NeraTech Media,https://www.capterra.com/p/239456/Trinity-Audio/,https://www.capterra.com/p/239456/Trinity-Audio/,4.5,2,Build a World of Audio for your Audience - Create smart audio experiences from your content in just a few clicks ,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/bff44a67-7a76-4af6-8b8c-d5e409bd1306.png,https://www.capterra.com/text-to-speech-software
Integration,Jira Integration+,Nextup,https://www.capterra.com/p/161444/Nextup/,https://www.capterra.com/p/161444/Nextup/,4.8,5,An integration solution to connect JIRA with Slack for a communication channel between your chats and tickets. ,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/bc2c3c68-4dc2-4290-8c69-3d51a779d69f.png,https://www.capterra.com/integration-software
Accounting,AccountingGuru,Veersoft Solutions,https://www.capterra.com/p/128930/AccountingGuru/,https://www.capterra.com/p/128930/AccountingGuru/,5,2,An online accounting and inventory management solution for Indian market.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/6cc940b6-5398-4bec-b486-03bf086939e7.png,https://www.capterra.com/accounting-software
Text Mining,SAS Text Miner,SAS Institute,https://www.capterra.com/p/152137/SAS-Text-Miner/,https://www.capterra.com/p/152137/SAS-Text-Miner/,5,2,"Text mining system that contains automatic boolean rule generation, term profiling, document theme discovery, and text importing.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/f3e8365a-2b2d-4b6c-99d3-7ae7e8fb3bcc.png,https://www.capterra.com/text-mining-software
Accounting,Crush,CrushErrors,https://www.capterra.com/p/156868/CrushErrors/,https://www.capterra.com/p/156868/CrushErrors/,5,2,"An error crushing platform to find changes, discrepancies, mismatches with Apps that make it easy to use, learn, and share.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/77aa7369-ae7f-483b-89d0-88473ddec4d9.png,https://www.capterra.com/accounting-software
Integration,NEC UNIVERGE,NEC,https://www.capterra.com/p/177210/NEC-UNIVERGE/,https://www.capterra.com/p/177210/NEC-UNIVERGE/,4.4,5,"NEC UNIVERGE provides multimedia networks integration system that enables to integrate products, applications, and services.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/d8ee455e-5288-40a6-ab8b-e05b151d6970.png,https://www.capterra.com/integration-software
Integration,IBM Cloud Pak for Integration,IBM,https://www.capterra.com/p/251229/IBM-Cloud-Pak-for-Integration/,https://www.capterra.com/p/251229/IBM-Cloud-Pak-for-Integration/,4.2,5,"AI-powered integration solution that connects applications and supports multiple integration styles within a single, unified platform. ",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/730302d9-9ac3-4aa3-8d45-8d0769f73141.jpeg,https://www.capterra.com/integration-software
Accounting,FLYKON,Pydisoft Technologies,https://www.capterra.com/p/169634/FLYKON/,https://www.capterra.com/p/169634/FLYKON/,5,2,"Advanced VAT ready business application software with built in accounting, inventory management, and a secured system.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/d96861ca-2832-458f-ac64-bc26a7b06fed.png,https://www.capterra.com/accounting-software
Accounting,Gincore,Gincore,https://www.capterra.com/p/168994/Gincore/,https://www.capterra.com/p/168994/Gincore/,5,2,"Cloud-based solution which allows for inventory control, accounting, customer service, and sales monitoring. ",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/6290d085-ba76-419b-9624-4b495107af9f.png,https://www.capterra.com/accounting-software
Integration,1Gateway,Faciligate SL,https://www.capterra.com/p/240511/1Gateway/,https://www.capterra.com/p/240511/1Gateway/,5,4,Integration software with a focus on service desk synchronisation and cmdb federation.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/7a62aeb7-7974-4d57-8532-85d2cd05f92b.png,https://www.capterra.com/integration-software
Integration,Logical Data Warehouse,Data Virtuality,https://www.capterra.com/p/156149/Logical-Data-Warehouse/,https://www.capterra.com/p/156149/Logical-Data-Warehouse/,5,4,Logical Data Warehouse combines data virtualization & next-generation ETL to enable an agile data infrastructure with high performance.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/d3f25b52-278e-45c9-9fec-d292938f30c3.png,https://www.capterra.com/integration-software
Integration,elastic.io,elastic.io,https://www.capterra.com/p/144080/elastic-io/,https://www.capterra.com/p/144080/elastic-io/,4.8,4,"Enables organizations to enhance integration capabilities across SaaS, on-premise, IoT and Mobile systems",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/3496a490-d0a7-4fb1-8c96-09bc16666060.png,https://www.capterra.com/integration-software
Quoting,Sales Force Assistant,NI Consulting,https://www.capterra.com/p/247040/Sales-Quote-Assistant/,https://www.capterra.com/p/247040/Sales-Quote-Assistant/,4.5,13,"Japanese-language application for field salespeople facilitating access to customer data, GPS services, scheduling, and data entry tool",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/66010bc6-cfb1-41ee-b770-850c9af929ce.png,https://www.capterra.com/quoting-software
